DiabetesSTDEV,Lila 1 and 10,pop 2010,Urban,LowIncomeTracts,Average of percent,Average of lower confidence limit,Average of upper confidence limit,Statelist,CONCAT
0,0,14761,0,1,11.525,9.75,13.5875,10,352
0,0,8870,0,1,9.9125,8.1,12.0875,10,353
0,0,297052,1,0,11.3,9.6375,13.075,10,354
0,0,618754,1,0,9.975,8.475,11.6125,10,355
0,0,275487,1,1,8.2625,6.925,9.7875,10,356
0,0,40801,0,1,11.5125,9.8625,13.4125,10,357
0,0,8365,0,1,10.4375,8.575,12.6,10,358
1,0,19224,0,1,11.85,10.0875,13.8625,10,359
0,0,322833,1,0,9.8,8.2625,11.5375,10,360
0,0,331298,1,0,11.4,9.7875,13.1875,10,361
0,0,146318,1,0,8.825,7.2625,10.5875,10,362
0,0,2496435,1,0,8.3125,7.025,9.725,10,363
0,0,73090,1,0,8.2375,6.675,10.0625,10,364
0,0,73314,1,0,9.475,7.8,11.4125,10,365
0,0,180822,1,0,9.425,7.8125,11.225,10,366
0,0,39996,1,1,10.0125,8.4,11.8625,10,367
0,0,1145956,1,0,8.575,7.45,9.85,10,368
0,0,268685,1,0,9.125,7.625,10.8875,10,369
0,0,1320134,1,0,9.1375,7.8875,10.5375,10,370
0,0,464697,1,0,10.2125,8.575,12.05,10,371
0,0,916542,1,0,9.825,8.425,11.3625,10,372
0,0,602095,1,0,10.575,9.0375,12.3,10,373
1,0,74364,0,1,12.425,10.4125,14.6625,10,374
0,0,151372,1,0,9.0625,7.4625,10.9,10,375
0,0,379448,1,0,9.4875,8.0125,11.0875,10,376
0,0,422718,1,0,9.175,7.625,10.9375,10,377
0,0,190039,1,0,8.175,6.7,9.85,10,378
0,0,277789,1,0,10.775,9.1125,12.625,10,379
0,0,93420,0,1,10.9,8.9875,13.0875,10,380
0,0,41551,0,0,10.9125,9.1625,12.8125,10,381
0,0,22570,0,0,11.025,9.3,12.9875,10,382
0,1,15535,0,1,10.9,9,13.1375,10,383
0,0,494593,1,0,10.1375,8.6375,11.8,10,384
0,0,30776,0,0,9.65,8.025,11.475,10,385
0,0,55043,0,0,9.625,8.0625,11.3625,10,386
0,0,24896,0,0,11.5125,9.7375,13.5375,10,387
0,0,18236,0,1,11.5375,8.8375,14.8,11,388
0,0,8375,0,1,9.975,7.4625,13.15,11,389
0,0,11096,0,1,10.1125,7.5375,13.25,11,390
1,1,3451,0,1,12.8375,9.75,16.5875,11,391
0,0,45720,1,1,11,8.625,13.9125,11,392
0,0,18395,0,0,9.8375,7.175,13.175,11,393
0,0,69367,1,0,9.75,7.4375,12.5625,11,394
0,0,100157,0,0,9.85,7.55,12.6625,11,395
1,0,17634,0,1,12.3375,9.6875,15.525,11,396
0,0,19286,0,1,11.3875,8.7375,14.675,11,397
1,0,155547,1,1,11.975,9.825,14.4625,11,398
1,0,13063,0,0,11.9125,9.15,15.225,11,399
0,0,18411,0,1,10,7.375,13.275,11,400
1,0,16243,0,1,13.3375,10.4625,16.825,11,401
0,0,30233,0,0,9.3,6.9625,12.225,11,402
